date,visitors,pageviews,visits,views_per_visit,bounce_rate,visit_duration
2022-05-01,0,0,0,0.0,,
2022-06-01,0,0,0,0.0,,
2022-07-01,0,0,0,0.0,,
2022-08-01,28867,92594,33711,2.75,64,144
2022-09-01,54922,156347,64397,2.43,66,146
2022-10-01,81272,194089,93457,2.08,70,129
2022-11-01,75181,179637,86421,2.07,73,114
2022-12-01,62780,151698,73186,2.06,72,119
2023-01-01,79427,210202,94751,2.21,65,140
2023-02-01,44870,136848,53272,2.57,64,164
2023-03-01,50686,158993,59810,2.64,64,162
2023-04-01,14708,72926,23124,3.1,53,306
